subject_id,subject_type,symbol_id,structure_id,regime_id,description
int_lion_aberdeen,Interpretation,CyclicalSymbol,SyntheticStructure,NocturnalRegime,"""In the bestiary the lion's cubs are born dead and revived on the third day by their father's breath, a figure of Christ's resurrection; this death-and-rebirth aligns the interpretation with the cyclical symbol of death reintegrated as a prelude to renewal."""
int_lion_apollodorus,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The Nemean lion is the invulnerable, devouring chaos-beast born of Typhon, the feral monster the hero must overcome; it concentrates the teriomorphic terror of predatory jaws and bestial violence."""
int_lion_dante,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The lion of Inferno I as pride/violence, the threatening beast that drives Dante back — the devouring obstacle."""
int_lion_maier,Interpretation,InversionSymbol,MysticalStructure,NocturnalRegime,"""In Maier's alchemical emblem the green lion is the prima materia undergoing transmutation, the conversion of base matter into the philosophical Stone; this turning of one nature into another belongs to the inversion symbol of transformation."""
int_mandrake_machiavelli,Interpretation,IntimacySymbol,MysticalStructure,NocturnalRegime,"""In Machiavelli's comedy the mandrake is reduced to a fertility potion, its generative power aligning with the intimacy symbol's nurturing, protective interior and the promise of the cradle."""
int_manticore_flaubert,Interpretation,"TeriomorphicSymbol, CatamorphicSymbol",SchizomorphicStructure,DiurnalRegime,"""Flaubert preserves the teriomorphic devourer but adds a catamorphic register through its plague-breath and army-consuming death, the degradation and downward dissolution of bodies in the desert."""
int_minotaur_dante,Interpretation,"TeriomorphicSymbol, CatamorphicSymbol",SchizomorphicStructure,DiurnalRegime,"The Minotaur in Dante functions as a predominantly theriomorphic symbol of chaotic animality. His self-biting and self-lacerating rage exemplify the schema of devouring jaws turned inward: the beast consumes itself, becoming an image of violence that is both destructive and self-destructive. At the same time, Dante intensifies the symbol through a catamorphic register. The creature is located in the descending geography of Hell and is linked to the fall from reason into brute impulse. "
int_minotaur_gospodinov,Interpretation,"InversionSymbol, IntimacySymbol",MysticalStructure,NocturnalRegime,"""Gospodinov inverts the teriomorphic monster into a figure of intimacy: the terrifying beast as abandoned child alone and vulnerable at the center of the labyrinth, self sheltering within interiority. The labyrinth functions as an intimacy symbol, the cradle of abandoned childhood memory where time folds back on itself, allowing chilhood and present to coexist."
int_ogre_chretien,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Chretién ogre is the example of a Tereomorphic treat since is represented as the absolute manifestation of the Nocturnal terror of death bestial, brutal, acting on raw flesh-eating impulses. """
int_ogre_shrek,Interpretation,InversionSymbol,MysticalStructure,NocturnalRegime,"""Shrek is the example of inversion symbols whre the monstrous ogre is actually the protector of peace, while the noble prince (Farquaad) is a insecure tyrant. """
int_pegaso_barbie,Interpretation,IntimacySymbol,MysticalStructure,NocturnalRegime,"""In Barbie Pegasus is not the wild beast but an enchated woman where the kingndom of the clouds are a safe and farytale santuary and the events follow an intimate space."""
int_pegaso_cantimpre,Interpretation,SpectacularSymbol,SchizomorphicStructure,DiurnalRegime,"""Cantimpré views Pegasus as a spectacular symbol, of the human soul  who rises above earthly temptations through virtues, since in the medieval tradition, wings represent spiritual elevation and moving away from sin."""
int_pegaso_esiodo,Interpretation,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""Pegasus represents the ascensional symbol since it is an explosion of solar light out of primordial darkness (medusa head), it rejects the heavy, muddy earth, soaring straight to Mount Olympus."""
int_siren_andersen,Interpretation,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""The siren in Anderson's tale desires to become a human being to be able to live after death throughout her immortal spirit, which ascends to heaven."""
int_siren_anonymous,Interpretation,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Sirens are scary creatures that live in the ocean depths. They are described as temptresses that seduce sailors with their sweet voice. Sirens are often associated to death demons whose seduction leads to death """
int_siren_musker_clements,Interpretation,,MysticalStructure,NocturnalRegime,"""In the movie 'The Little SIren' the authors reverse the brutality of the original Anderson's tale, rewriting the images of terror into a positive happy ending. Through this euphemization of danger, the main character's voicr is not mutilated but safely kept in a shell. This inversion allows her to reach her dream of becoming a human and marrying the prince she fell in love with."""
int_siren_omero,Interpretation,NyctomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Sirens are scary creatures that live in the ocean depths. They are described as temptresses that seduce sailors with their sweet voice. Sirens are often associated to death demons whose seduction leads to death """
int_siren_ovidius,Interpretation,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""Ovidio tells the story of sirens as creatures whose were gifted wings from the Gods to be able to search Persefone, kidnapped by Ade. In this interpretation they symbolize the conquering of a new power."""
int_snake_aberdeen,Interpretation,CyclicalSymbol,SyntheticStructure,NocturnalRegime,"""The snake's sloughing of its old skin to regain youth, allegorized as the believer shedding the 'old self' for new life, embodies the cyclical symbol of renewal where casting off the old is the condition of rebirth."""
int_snake_dante,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""Dante's serpents bite, poison, and devour the thieves, instruments of an animal terror that dissolves human identity; the biting, venomous reptile is the teriomorphic beast par excellence."""
int_snake_ovid,Interpretation,InversionSymbol,MysticalStructure,NocturnalRegime,"""Cadmus and Harmonia are transformed into serpents, a metamorphosis that converts human into animal while memory and love survive; this doubling and conversion of form is the inversion symbol."""
int_snake_ovid_2,Interpretation,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The serpent of Mars is a giant, fire-eyed, venom-swollen guardian with triple rows of teeth that devours Cadmus's men; it is a pure teriomorphic chaos-monster."""
int_sphinx_apollodoro,Interpretation,"DiareticSymbol, TeriomorphicSymbol",SchizomorphicStructure,DiurnalRegime,"""The Theban sphinx fuses the diaretic riddle - the intellectual cut that separates truth from death - with the teriomorphic terror of the devouring monster who consumes those who fail to answer"""
int_sphinx_egypt,Interpretation,SpectacularSymbol,SchizomorphicStructure,DiurnalRegime,"""The Egyptian sphinx is a spectacular symbol: a solar, luminous guardian whose monumental gaze embodies the heroic clarity and royal vision that define and command the world."""
int_sphinx_ende,Interpretation,"DiareticSymbol, TeriomorphicSymbol",SchizomorphicStructure,DiurnalRegime,"""In Ende's tale the sphinxes are diaretic riddle-gates whose challenge separates the worthy from the unworthy, fused with the teriomorphic lethality of their deadly, devouring gaze."""
int_sphinx_plinio,Interpretation,SpectacularSymbol,SchizomorphicStructure,DiurnalRegime,"""Pliny's sphinx carries the spectacular symbolism of the luminous, solar creature observed as a marvel, its presence belonging to the register of clear vision and heroic light."""
int_sphinx_rowling_fantastic,Interpretation,DiareticSymbol,SchizomorphicStructure,DiurnalRegime,"""Rowling's sphinx is a diaretic guardian: it poses the riddle as an act of intellectual division and separation, testing the seeker without the devouring violence of its Theban ancestor."""
int_unicorn_cantimpre,Interpretation,InversionSymbol,SyntheticStructure,NocturnalRegime,"""In Cantimpré the meaning of unicorn changes in the theological allegory,  following inversion symbols where the violent capture and killed of the unicorn in the lap of the virgin so it can save mankind"""
int_unicorn_ctesias,Interpretation,DiareticSymbol,SchizomorphicStructure,DiurnalRegime,"""Ctesias unicorn is a diaretic symbol, he describes it as a fiernce beast with ta sharp weapon, the horn long one foot that custs everything in its path yet he narrates that the horn has the power of cleanig water from poisons. """
int_unicorn_isidor,Interpretation,IntimacySymbol,MysticalStructure,NocturnalRegime,"""Isidore writes that the unicorn is so strong no hunter can catch it, however when the virgin girl approaches, the beast forgets its ferocity, lays its head in her lap, and falls asleep and it can be captured following a intimacy scene. """
part_horn,AnatomicalPart,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""The horn rises vertically toward the heavens, aligning with ascensional verticality and the purifying, transcendent power traditionally attached to it."""
part_snake_hair,AnatomicalPart,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The snake is a teriomorphic animal in Durand's Imaginary, and Medusa's writhing serpent-locks embed feral, biting animal terror directly into the body."""
part_three_lines_of_teeth,AnatomicalPart,TeriomorphicSymbol,SchizomorphicStructure,DiurnalRegime,"""The triple rows of teeth are the paradigmatic teriomorphic image of predatory jaws 'ready to strike,' concentrating the symbol's devouring, feral chaos."""
part_wings,AnatomicalPart,AscensionalSymbol,SchizomorphicStructure,DiurnalRegime,"""Wings are the ascensional instrument par excellence: in Durand's scheme they directly contradict gravity and embody the heroic upward flight away from temporal degradation. Durand names the wing explicitly as 'the ascensional instrument that contradicts gravity,' making this the textbook case."""
