citation_id,interpretation_id,source_id,"sequence_identifier","passage"
citation_aldrovandi_4,int_anomaly_aldrovandi_1,source_monstrorum_historia_aldrovandi,"""Capitolo 2: Diversità nella specie umana""","""[...] ella portava infatti al proprio seguito una fanciulla di otto anni coperta di peli. [...] Il viso della fanciulla, come anche la fronte, era coperto di peli, a parte il naso e il contorno delle labbra. I peli della fronte erano più lunghi e ispidi rispetto a quelli che coprivano le guance, che erano più morbidi al tatto; il resto del corpo, e soprattutto il dorso, era coperto di peli ispidi, e brulicava di peli biondi fino al principio dei lombi. Mentre le altre parti erano intatte, la gola, il petto, le mani, e le braccia erano stati rasati e somigliavano alla pelle degli uccelli che non hanno ancora messo le piume."""""
citation_aldrovandi_5,int_mostro_aldrovandi_1,source_monstrorum_historia_aldrovandi,"""Capitolo 3: Il mostro in generale""","""Inoltre, se spaziamo nel vasto campo del tempo passato, troveremo mostri ancor più orrendi. Infatti nell'anno del Signore 1512 nacque a Ravenna un mostro che aveva un corno sulla testa, ed era dotato di entrambi i sessi; le altre parti erano umane, come si può vedere nella relativa figura. E questo mostro venne alla luce al tempo in cui il pontefice Giulio II aizzò l'Italia intera e gran parte della cristianità contro il re di Francia Luigi XII: perciò in seguito, la domenica di Pasqua, a Ravenna infuriò una tremenda battaglia. Ma altri, dall'aspetto di questo mostro, trassero il vaticinio che in quell'epoca non sarebbero mancati gli svariati e deleteri vizi degli uomini: associarono infatti il corno del mostro alla superbia, le ali alla frivolezza e incostanza dello spirito, la mancanza di braccia alla mancanza di opere giuste, la zampa di uccello rapace alla rapina, all'usura e all'avarizia, il ginocchio munito di occhio alla propensione degli uominbi verso le sole cose mondane, e la compresenza di entrambi i sessi a ogni specie di oscena lussuria."""
citation_aldrovandi_6,int_mostro_aldrovandi_2,source_monstrorum_historia_aldrovandi,"""Capitolo 3: Il mostro in generale""","""Per rafforzare ancor di più la tesi di coloro che pongono più mostri in acqua che sulla terra, aggiungiamo l'immagine di un mostro marino, riportato dal Paré, con testa, criniera e petto di cavallo il resto del corpo di pesce. Il Gessner riferisce che questa creatura, presa nell'oceano, fu portata a Roma e mostrata al sommo pontefice. Sia perciò resa giustizia a coloro che, negli antichi racconti, parlarono con grande libertà di cavalli marini, dipingendoli con forme in parte equine [...]. Al riguardo, molti hanno affermato che fu l'ambizione dei Romani a dare spunto alla figura di questo cavallo: dal momento che essi dimostrarono a tutti la loro preminenza sulla terra e sul mare, pensarono di dipingere uniti insieme due animali, uno per ciascun elemento, cioè il cavallo e il delfino. In seguito molti, sbalorditi da tale figura, e convinti che un simile mostro esistesse sotto forma di un'unica creatura, lo chiamarono cavallo marino. Ma, dato che l'immagine qui proposta trova un certo riscontro nella realtà, non dobbiamo più farci prendere dallo stupore."""
citation_aldrovandi_7,int_mostro_aldrovandi_3,source_monstrorum_historia_aldrovandi,"""Capitolo 3: il mostro in generale""","""Quali siano i nomi, la natura, il comportamento e l'alimentazione di questo animale, è stato ampiamente discusso nello studio sui quadrupedi digitati. Rimane solo da aggiungere quanto dice in proposito il Paré, e da proporre un'immagine da poter osservare, che non era ancora disponibile al tempo del precedente volume. Ebbene, il Paré afferma che questo animale viene chiamato haut, ha le dimensioni di un cercopiteco, ma la testa e il volto somigliano a quelli di un bambino. Quando viene catturato si lamenta e tira fuori dal petto profondi sospiri, come un uomo ansioso e sofferente. Le sue zampe sono munite di tre artigli; scala gli alberi e trascorre lassù più tempo che a terra. Cammina così lentamente che, nell'atto di allungare le zampe, tocca quasi il suolo con il ventre. In quindici giorni non copre la distanza di un tiro di pietra; una volta che è salito su un albero, vi trascorre due giorni, e non accelera i movimenti neanche quando è minacciato o in pericolo."""
citation_aldrovandi_8,int_mostro_aldrovandi_4,source_monstrorum_historia_aldrovandi,"""Capitolo 3: il mostro in generale""","""Possiamo avvalorare ancora la tesi in discorso aggiungendo l'immagine di un mostro acquatico più repellente, ricordato dal Gessner, il quale attribuisce questo ritratto da lui ricevuto a un disegnatore che lo aveva visto dal vivo ad Anversa. La testa del mostro aveva un aspetto selvaggio, munita com'era di due corna e di orecchie assai sporgenti. Le braccia invece non erano dissimili da quelle umane; il resto del corpo somigliava a quello di un pesce. Fu catturato nel mare della regione illirica, quando era emerso dall'acqua per rapire un bambino che si trovava sulla spiaggia. Alcuni pescatori, assistendo alla scena, colpirono il mostro con pietre; esso tentò di fuggire, ma essendo ferito a morte spirò poco dopo riverso sulla spiaggia, dalla quale aveva cercato di allontanarsi. Nell'immagine vengono quindi offerti all'osservazione i tratti di tale mostro."""
citation_aldrovandi_9,int_mostro_aldrovandi_5,source_monstrorum_historia_aldrovandi,"""Capitolo 5: Anomalie delle singole parti del corpo""","""Not long after, a six-legged female cat was born, colored partly white and partly dark gray; four feet supported the cat's hindquarters and only two the front. We provide the likeness of this monstrous cat, together with ""cat-joy"" - that is, bugloss."""""
citation_andersen_1,int_siren_andersen,source_andersen,,"""They were six beautiful children; but the youngest was the prettiest of them all; her skin was as clear and delicate as a rose-leaf, and her eyes as blue as the deepest sea; but, like all the others, she had no feet, and her body ended in a fish's tail.'"""
citation_anonymous,int_siren_anonymous,source_liber_monstrorum,,"""Le Sirene sono fanciulle marine che seducono i marinai con la bellezza del corpo e la dolcezza del canto. Dalla testa fino all’ombelico hanno aspetto di vergine, del tutto simili a creature umane. Hanno però code squamose di pesce, che nascondono sempre sott’acqua."""
citation_apollodorus_1,int_sphinx_apollodoro,source_mito_edipo,"""Section 3, lines 52-54""","""Era infatti inviò la Sfinge, che era (nata) dalla madre Echidna e dal padre Tifone, ed aveva volto di donna, ma petto e parte inferiore del corpo e coda di leone e ali di uccello. Ed avendo appreso un indovinello dalle Muse stava seduta sul monte Ficio e lo proponeva ai Tebani. E l'indovinello era: cos'è che, (pur) avendo una sola voce, diventa quadrupede e bipede e tripede? Ed essendoci per i Tebani un oracolo (secondo cui) allora si sarebbero liberati della Sfinge, quando avessero risolto l'indovinello, radunandosi molte volte insieme cercavano che cosa fosse ciò che veniva detto, ma poiché non trovavano, afferrando uno lo divorava. Ed essendo morti molti, e alla fine Emone, il figlio di Creonte, Creonte promette con un bando di dare sia il regno sia la moglie di Laio a colui che avesse risolto l'indovinello."""
citation_apollodorus_2,int_giant_apollodorus,source_biblioteca,"""Book I""","""But Earth, vexed on account of the Titans, brought forth the giants, whom she had by Sky. These were matchless in the bulk of their bodies and invincible in their might; terrible of aspect did they appear, with long locks drooping from their head and chin, and with the scales of dragons for feet. They were born, as some say, in Phlegrae, but according to others in Pallene. And they darted rocks and burning oaks at the sky."""
citation_apollodorus_3,int_medusa_apollodoro,source_biblioteca,"""Book II, capo IV""","""Ed ottenuto da Mercurio una falce d’adamante, volò all’ Oceano, ove vide le Gorgoni dormienti. Una d’esse avea nome Steno, Euriala la seconda, la terza Medusa; e questa sola dicesi che fosse mortale. Era essa quella, la cui testa Perseo era stato mandato a prendere. Le teste delle Gorgoni erano tutte piene di squamose serpi attorcigliate; ed aveano in bocca denti grandi quanto quelli de’ cinghiali: poi di bronzo erano le loro mani, ed aveano ali d’oro colle quali volavano: di più chiunque esse guardassero, lo trasmutavano in sasso. Assalitele Perseo così immerse com'erano nel sonno, direttone il braccio suo da Minerva, e tenendo gli occhi fissi nello scudo di bronzo per cui vedea l'immagine della Gorgona, tagliò la testa a Medusa: il che fatto, Pegaso, cavallo alato, balzò fuori all’istante, e nel tempo stesso Criasore padre di Gerione, di cui per opera di Nettuno essa era gravida."""
citation_apollodorus_4,int_lion_apollodorus,source_biblioteca,"""Book II, chapter 5""","""Come primo compito gli fu imposto di riportare la pelle del Leone Nemeo, una belva invulnerabile, nata da Tifone. E dunque Eracle partì per affrontare il leone e giunse a Cleone, dove fu ospitato da un bracciante, Molorco. Questi stava per offrire in quel giorno una vittima in sacrificio, ma Eracle gli disse di aspettare trenta giorni: se fosse tornato sano e salvo dalla caccia, avrebbe sacrificato a Zeus Salvatore, e se invece fosse morto, Molorco avrebbe dovuto offrire il sacrificio a Eracle stesso, come eroe. Arrivato a Nemea, Eracle seguì le tracce del leone e cominciò a colpirlo con le sue frecce; ma capì subito che era invulnerabile: così si mise in spalla la clava, e gli andò dietro. Il leone si rifugiò in una grotta con due ingressi: Eracle ne chiuse uno ed entrò dall'altro, si avvicinò alla bestia, la prese al collo e la immobilizzò, e le strinse la gola fino a che morì soffocata - poi si mise il leone in spalla e tornò a Cleone. Qui incontrò Molorco che ormai, essendo l'ultimo giorno, stava per compiere il sacrificio in onore di Eracle morto: così, insieme a lui, sacrificò invece a Zeus Salvatore, e poi portò il leone a Micene. Euristeo, atterrito dalla forza dell'eroe, gli vietò per il futuro l'ingresso in città: i risultati delle sue imprese avrebbero dovuto essere esposti davanti alle porte."""
citation_ariosto_1,int_hippogriff_ariosto,source_orlando_furioso,"""Canto IV, paragraph 18""","""Non è finto il destrier, ma naturale, / ch’una giumenta generò d’un grifo: / simile al padre avea la piuma e l’ale, / li piedi anteriori, il capo e il grifo; / in tutte l’altre membra parea quale / era la madre, e chiamasi ippogrifo; / che nei monti Rifei vengon, ma rari, / molto di lá dagli aghiacciati mari."""
citation_ariosto_2,int_ogre_ariosto,source_orlando_furioso,"""Canto XVII, paragraph 38""","""L’Orco da noi s’aspetta, ad ogni suono di sentirlo parci, ch’affamato ritorni a divorarci."""
citation_barbie_1,int_pegaso_barbie,source_barbie,,"""A measure of courage is not based on what you look like on the outside, but what you are willing to fight for."""
citation_beowulf_1,int_dragon_beowulf,source_beowulf,"""Chapter XXXIII""","""Then the ancient dusk-scather / The fire-dragon. Found the great treasure standing all open, / He who flaming and fiery flies to the barrows, / Naked war-dragon, nightly escapeth / Encompassed with fire ; men under heaven / Widely beheld him. 'Tis said that he looks for / The hoard in the earth, where old he is guarding / The heathenish treasure ; he'll be nowise the better."""
citation_bible_1,int_giant_bible,source_bible,"""Genesi 6:4, verse 4""","""In quel tempo c'erano sulla terra i giganti, e ci furono anche in seguito, quando i figli di Dio si unirono alle figlie degli uomini, ed ebbero da loro dei figli. Questi sono gli uomini potenti che, fin dai tempi antichi, sono stati famosi."""
citation_bierce_1,int_hippogriff_bierce,source_devil_dictionary,"""Chapter H""","""An animal (now extinct) which was half horse and half griffin. The griffin was itself a compound creature, half lion and half eagle. The hippogriff was actually, therefore, a one-quarter eagle, which is two dollars and fifty cents in gold. The study of zoology is full of surprises."""
citation_book_of_invation_1,int_fairy_celtic,source_book_of_invations,,"""Under obscurity,  a people without a covenant of religion; whelps of the wood that has not withered."""
citation_cantimpre_1,int_unicorn_cantimpre,source_liber_de_natura_rerum,,"""The unicorn is indeed a small animal, as Isidore says, according to the strength of the body. He also has short legs for his size. Its horn is very sharp, so that it cannot be captured by force by any hunter./A virgin girl is taken to the forest and left alone. When the unicorn arrives, putting aside all its ferocity, it respects the chastity of the virgin's body and places its head in the girl's bosom."""
citation_cantimpre_2,int_pegaso_cantimpre,source_liber_de_natura_rerum,,"""The pegasus, as Pliny says, is a large and fearsome animal in Ethiopia. It has the body of a horse, wings like an eagle, but much larger, the head is equipped with horns and it is truly monstrous, such that almost all /  They devour many foods, they are moved by restlessness, they are unsafe for animals, and the most unsafe for humankind."""
citation_cantimpre_3,int_bull_cantimpre,source_liber_de_natura_rerum,"""Chapter 4: Animals (quadrupeds)""","""The bull is an animal robust in strength, and among all social animals tame enough to surpass those who oppose the rest with rapacity. Several together fight most bitterly, but when alone, it easily succumbs to cowardice. When they are taken, they have their tongues stuck out, they do nothing with their teeth, but only with their horns: for there is no terror in their teeth. When they graze on the grass, they do not injure the roots, but only take what is visible on the surface. Bulls are gentler, and are made suitable for all work, and especially for the hills, if they are kept from lust by being castrated. And the older they are, the more tender their flesh, if they have been fattened."""
citation_cantimpre_4,int_goat_cantimpre,source_liber_de_natura_rerum,"""Chapter 4: Animals (quadrupeds)""","""The goat is a bearded animal, with long and sharp horns, it grazes in the valley, in the mountains and in the branches of trees, which it can reach with its mouth. It has an abundance of milk, and its milk is the healthiest, but immediately, when it will have curdled, it spoils; for cheese having been made from it (the milk) is nearly useful for nothing. The he-goat of the woodlands is a very perceptive animal, it loves high mountains, it recognizes walking people placed far off, if they be travelers or hunters."""
citation_cantimpre_5,int_scorpion_cantimpre,source_liber_de_natura_rerum,"""Chapter 8: Serpents""","""A scorpion is a serpent, which is said to have a charming and virgin-like face. But it certainly has a poisonous sting in its knotted tail, with which it stings and infects any that approach it. But it strikes once with a slanted blow and once with a bent tail; and it never ceases to look for opportunities to strike. Those infected with its poison die a protracted death over three days. It is said that some have two stings, and that the males are very savage to each other. But the males are distinguished by their thinness and length. Apollodorus clearly says that there are some that can fly. The people of Psilli, by regurgitating poisons from the limbs of men, filled Italy with foreign evils. Hence they tried to bring these also into Italy, but they could not live in the country. They are, however, sometimes seen in Italy, but most of them are harmless. For a man who has been stung by a scorpion, the remedy is thought to be the drinking of the ashes of them in wine. [...] The scorpion is the only insect that has a tail, and arms, and a spike in the tail. Scorpions lay eggs in spring and likewise in autumn. The scorpion, as Aristotle says, has two stings. The scorpion lives in the earth."""
citation_chaucer_1,int_fairy_chaucer,source_canterbury_tales,"""Tale: The Wife of Bath's Tale""","""All was this land fulfild of fayerye. The elf-queene, with hir joly compaignye, Daunced ful ofte in many a grene mede."""
citation_chretien_1,int_ogre_chretien,source_percival,,"""To all the realms of Logres, which was formerly land of ogres, and destroy them with that lance."""
citation_claudio_1,int_phoenix_claudio,source_claudio_phoenix,"""Book II, verses 17–22""","""A mysterious fire flashes from its eye, and a flaming aureole enriches its head. Its crest shines with the sun's own light and shatters the darkness with its calm brilliance. Its legs are of Tyrian purple; swifter than those of the Zephyrs are its wings of flower-like blue dappled with rich gold."""
citation_ctesias_1,int_unicorn_ctesias,source_indika,,"""There are in India certain wild asses which are as large as horses, and larger. Their bodies are white, their heads dark red, and their eyes dark blue. They have a horn on the forehead which is about a foot and a half in length. The dust filed from this horn is administered in a potion as a protection against deadly drugs."""
citation_dante_inferno_1,int_minotaur_dante,source_dante_inferno,"""Canto XII, verses 11-14""","""e ’n su la punta de la rotta lacca / l’infamia di Creti era distesa / che fu concetta ne la falsa vacca; / e quando vide noi, sé stesso morse, / sì come quei cui l’ira dentro fiacca."""
citation_dante_inferno_2,int_phoenix_dante,source_dante_inferno,"""Canto XXIV, verses 106-111""","""Così per li gran savi si confessa / che la fenice more e poi rinasce, / quando al cinquecentesimo anno appressa; / erba né biado in sua vita non pasce, / ma sol d’incenso lagrime e d’amomo, / e nardo e mirra son l’ultime fasce."""
citation_dante_inferno_3,int_medusa_dante,source_dante_inferno,"""Canto IX, verses 52-57""","""Vegna Medusa: sì ’l farem di smalto', / dicevan tutte riguardando in giuso; / 'mal non vengiammo in Tesëo l’assalto'. / 'Volgiti ’n dietro e tien lo viso chiuso; / ché se ’l Gorgón si mostra e tu ’l vedessi, / nulla sarebbe di tornar mai suso'."""
citation_dante_inferno_4,int_lion_dante,source_dante_inferno,"""Canto I, verses 37-48""","""Temp’era dal principio del mattino, / e ’l sol montava ’n su con quelle stelle / ch’eran con lui quando l’amor divino / mosse di prima quelle cose belle; / sì ch’a bene sperar m’era cagione / di quella fiera a la gaetta pelle / l’ora del tempo e la dolce stagione; / ma non sì che paura non mi desse / la vista che m’apparve d’un leone. / Questi parea che contra me venisse / con la test’alta e con rabbiosa fame, / sì che parea che l’aere ne tremesse."""
citation_dante_inferno_5,int_snake_dante,source_dante_inferno,"""Canto XXV, verses 79-93""","""Come 'l ramarro sotto la gran fersa / dei dì canicular, cangiando sepe, / folgore par se la via attraversa, / sì pareva, venendo verso l’epe / de li altri due, un serpentello acceso, / livido e nero come gran di pepe; / e quella parte onde prima è preso / nostro alimento, a l’un di lor trafisse; / poi cadde giuso innanzi lui disteso. / Lo trafitto ’l mirò, ma nulla disse; / anzi, co’ piè fermati, sbadigliava / pur come sonno o febbre l’assalisse. / Elli ’l serpente e quei lui riguardava; / l’un per la piaga e l’altro per la bocca / fummavan forte, e ’l fummo si scontrava."""
citation_dante_inferno_6,int_centaur_dante2,source_dante_inferno,"""Canto XII, verses 67-69""","""Poi mi tentò, e disse: «Quelli è Nesso, / che morì per la bella Deianira / e fé di sé la vendetta elli stesso.'"""
citation_dante_inferno_7,int_centaur_dante,source_dante_inferno,"""Canto XII, verses 70-71""","""E quel di mezzo, ch’al petto si mira, / è il gran Chirón, il qual nodrì Achille'"""
citation_dante_paradiso_1,int_eagle_dante,source_dante_paradiso,"""Canto XIX, verses 1-12""","""Parea dinanzi a me con l’ali aperte / la bella image che nel dolce frui / liete facevan l’anime conserte; / parea ciascuna rubinetto in cui / raggio di sole ardesse sì acceso, / che ne’ miei occhi rifrangesse lui. / E quel che mi convien ritrar testeso, / non portò voce mai, né scrisse incostro, / né fu per fantasia già mai compreso; / ch’io vidi e anche udi’ parlar lo rostro, / e sonar ne la voce e «io» e «mio», / quand’ era nel concetto e ’noi’ e ’nostro’."""
citation_ende_1,int_sphinx_ende,source_unendliche_geschichte,"""Chapter 6""","""And beside this pillar, as Atreyu now saw, an enormous sphinx was sitting motionless in the moonlight. The forepaws, on which she was propped, were those of a lion, the hindquarters were those of a bull; on her back she bore the wings of an eagle, and her face was that of a human woman - in form at any rate, for the expression was far from human. I was hard to tell whether this face was smiling or whether it expressed deep grief or utter indifference. After looking at it for some time, Atreyu seemed to see abysmal wickedness and cruelty, but a moment later he had to correct his impression, for he found only unruffled calm. [...] Then the right-hand pillar came into Atreyu's view. And there, in the same posture, sat a second sphinx. The enormous body shimmered like liquid silver in the moonlight. She seemed to be staring fixedly at the first, just as the first was gazing fixedly at her."""
citation_ende_2,int_dragon_ende,source_unendliche_geschichte,"""Chapter 4""","""Luckdragons are among the strangest animals in Fantastica. They bear no resemblance to ordinary dragons, which look like loathsome snakes and live in deep caves, diffusing a noxious stench and guarding some real or imaginary treasure. [...] Luckdragons are creatures of air, warmth, and pure joy. Despite their great size, they are as light as a summer cloud, and consequently need no wings for flying. They swim in the air of heaven as fish swim in water. Seen from the earth, they look like slow lightning flashes. The most amazing thing about them is their song. Their voice sounds like the golden note of a large bell, and when they speak softly the bell seems to be ringing in the distance. Anyone who has heard this sound will remember it as long as he lives and tell his grandchildren about it. But the luckdragon Atreyu saw could hardly have been in a mood for singing. His long, graceful body with its pearly, pink-and-white scales hung tangled and twisted in the great spider web. His bristling fangs, his thick, luxuriant mane, and the fringes on his tail and limbs were all caught in the sticky ropes. He could hardly move. The eyeballs in his lionlike head glistened ruby-red. The splendid beast bled from many wounds, for there was something else, something very big, that descended like a dark cloud on the dragon's white body. It rose and fell, rose and fell, all the while changing its shape. Sometimes it resembled a gigantic long-legged spider with many fiery eyes and a fat body encased in shaggy black hair; then it became a great hand with long claws that tried to crush the luckdragon, and in the next moment it changed to a giant scorpion, piercing its unfortunate victim with its venomous sting."""
citation_erodoto_1,int_phoenix_erodoto,source_erodoto_histories,"""Book II, paragraph 73""","""There is also another sacred bird called the phoenix which I did not myself see except in painting, for in truth he comes to them very rarely, at intervals, as the people of Heliopolis say, of five hundred years; and these say that he comes regularly when his father dies; and if he be like the painting, he is of this size and nature, that is to say, some of his feathers are of gold colour and others red, and in outline and size he is as nearly as possible like an eagle. This bird they say (but I cannot believe the story) contrives as follows: - setting forth from Arabia he conveys his father, they say, to the temple of the Sun (Helios) plastered up in myrrh, and buries him in the temple of the Sun; and he conveys him thus: - he forms first an egg of myrrh as large as he is able to carry, and then he makes trial of carrying it, and when he has made trial sufficiently, then he hollows out the egg and places his father within it and plasters over with other myrrh that part of the egg where he hollowed it out to put his father in, and when his father is laid in it, it proves (they say) to be of the same weight as it was; and after he has plastered it up, he conveys the whole to Egypt to the temple of the Sun. Thus they say that this bird does."""
citation_esiodo_1,int_giant_teogonia,source_teogonia,"""Lines 179-181""","""[...] for all the bloody drops that gushed forth Earth received, and as the seasons moved round she bare the strong Erinyes and the great Giants with gleaming armour, holding long spears in their hands and the Nymphs whom they call Meliae all over the boundless earth."""
citation_esiodo_2,int_medusa_esiodo,source_teogonia,"""Lines 270-281""","""A Forci Ceto generò le Graie dalle belle guance, / canute dalla nascita, che chiamano Graie / gli dèi immortali e gli uomini che camminano sulla terra, / Penfredo dal bel peplo e Enio dal peplo di croco, / e le Gorgoni, che abitano al di là dell'illustre Oceano, / al limite verso la Notte, dove sono le Esperidi dalla voce sonora, / Stenno e Euriale e Medusa che soffrì sciagure: / questa era mortale, mentre immortali e eternamente giovani / le altre due; ma accanto a lei sola giacque l'Azzurrochiomato / sul tenero prato e tra i fiori di primavera. / E quando Perseo le tagliò la testa, / saltarono fuori il grande Crisaore e il cavallo Pegaso."""
citation_esiodo_3,int_pegaso_esiodo,source_teogonia,,"""And when Perseus cut off her head, there sprang forth great Chrysaor and the horse Pegasus who is so called because he was born near the springs of Ocean."""
citation_esiodo_4,int_satyr_esiodo,source_frammenti_esiodo,"""fr. XLIV, verses 1-4""","""Onde le dive montanine Ninfe / Nacquero, il seme degl’inetti a ogn’opra / Satiri imbelli, e degli additti ai giuochi, / Di danze intrecciator divi Cureti."""
