subject_id,subject_type,concept_id,description
int_lion_apollodorus,Interpretation,teriomorphic_symbol,"The Nemean lion is the invulnerable, devouring chaos-beast born of Typhon, the feral monster the hero must overcome; it concentrates the teriomorphic terror of predatory jaws and bestial violence."
int_lion_aberdeen,Interpretation,cyclical_symbol,"In the bestiary the lion's cubs are born dead and revived on the third day by their father's breath, a figure of Christ's resurrection; this death-and-rebirth aligns the interpretation with the cyclical symbol of death reintegrated as a prelude to renewal."
int_lion_maier,Interpretation,inversion_symbol,"In Maier's alchemical emblem the green lion is the prima materia undergoing transmutation, the conversion of base matter into the philosophical Stone; this turning of one nature into another belongs to the inversion symbol of transformation."
int_lion_dante,Interpretation,teriomorphic_symbol,"The lion of Inferno I as pride/violence, the threatening beast that drives Dante back — the devouring obstacle."
int_snake_dante,Interpretation,teriomorphic_symbol,"Dante's serpents bite, poison, and devour the thieves, instruments of an animal terror that dissolves human identity; the biting, venomous reptile is the teriomorphic beast par excellence."
int_snake_ovid,Interpretation,inversion_symbol,"Cadmus and Harmonia are transformed into serpents, a metamorphosis that converts human into animal while memory and love survive; this doubling and conversion of form is the inversion symbol."
int_snake_ovid_2,Interpretation,teriomorphic_symbol,"The serpent of Mars is a giant, fire-eyed, venom-swollen guardian with triple rows of teeth that devours Cadmus's men; it is a pure teriomorphic chaos-monster."
int_snake_aberdeen,Interpretation,cyclical_symbol,"The snake's sloughing of its old skin to regain youth, allegorized as the believer shedding the ""old self"" for new life, embodies the cyclical symbol of renewal where casting off the old is the condition of rebirth."
int_siren_andersen,Interpretation,ascensional_symbol,"The siren in Anderson's tale desires to become a human being to be able to live after death throughout her immortal spirit, which ascends to heaven."
creature_siren,Creature,nyctomorphic_symbol,Sirens are scary creatures that live in the ocean depths. They are described as temptresses that seduce sailors with their sweet voice. Sirens are often associated to death demons whose seduction leads to death 
creature_satyr,Creature,teriomorphic_symbol,"Satyrs are lead by their primordial instinct. These creatures are brutally violent and they do not possess inhibitory brakes. Satyrs are only concern to dance, drink wine and engage in sexual activities."
creature_giant,Creature,catamorphic_symbol,
creature_troll,Creature,nyctomorphic_symbol,
creature_hermaphrodite,Creature,,
